Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,25,1995,16.6,7,0,0,16,26,0,8,40,27,0,1,0,Matches
Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,26,1995,10.8,7,0,0,35,5,0,4,22,17,0,0,0,Matches
Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,27,1993,19.9,1,0,0,13,8,1,27,38,30,0,0,0,Matches
Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,30,1990,10.5,4,0,0,22,6,2,0,36,21,0,0,0,Matches
Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31,1990,33,1,0,0,0,3,0,0,0,0,0,0,0,Matches
Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,30,1991,13.6,2,0,0,18,12,0,1,24,13,0,0,0,Matches
Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,23,1998,25.2,3,0,0,32,30,0,24,53,39,0,0,0,Matches
Christian Günter\8593f88c,de GER,DF,Freiburg,28,1993,34,2,0,0,39,17,4,124,30,21,1,0,0,Matches
Lasse Günther\00672803,de GER,DF,Augsburg,18,2003,1.8,1,0,0,3,1,0,3,3,3,0,0,0,Matches
Joško Gvardiol\5ad50391,hr CRO,DF,RB Leipzig,19,2002,26.8,7,0,0,47,42,1,8,89,33,0,0,1,Matches
Erling Haaland\1f44ac21,no NOR,FW,Dortmund,21,2000,21.2,3,0,0,17,17,14,8,4,2,0,0,0,Matches
Janik Haberer\70dcf94d,de GER,MF,Freiburg,27,1994,9.1,1,0,0,19,9,1,3,17,11,0,0,0,Matches
Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,27,1993,23,6,1,0,35,37,2,3,55,41,0,0,0,Matches
Robin Hack\0174ba21,de GER,FWMF,Arminia,22,1998,15.2,2,0,0,20,26,4,20,15,13,0,0,0,Matches
André Hahn\cd82452e,de GER,MFFW,Augsburg,30,1990,23.3,5,0,0,60,15,17,37,25,14,1,0,0,Matches
Amadou Haidara\92432bc6,ml MLI,MF,RB Leipzig,23,1998,14.7,2,0,0,22,17,0,4,16,21,0,0,0,Matches
Marcel Halstenberg\8ff2354e,de GER,DF,RB Leipzig,29,1991,5.6,0,0,0,4,5,1,3,9,5,0,0,0,Matches
Genki Haraguchi\f24ea523,jp JPN,MF,Union Berlin,30,1991,19.5,2,0,0,32,33,1,14,26,21,0,0,0,Matches
Luis Hartwig\a3f30508,de GER,MF,Bochum,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Makoto Hasebe\9ab16552,jp JPN,DF,Eint Frankfurt,37,1984,13.2,1,0,0,18,16,0,1,35,23,0,0,0,Matches
Thorgan Hazard\50871bcc,be BEL,FWDF,Dortmund,28,1993,14.9,2,0,0,24,19,11,32,21,12,0,0,0,Matches
Jonas Hector\c2009df3,de GER,DF,Köln,31,1990,28.4,3,0,0,31,59,1,74,64,52,0,0,0,Matches
Hwang Hee-chan\169fd162,kr KOR,FW,RB Leipzig,25,1996,0.5,0,0,0,0,2,0,1,1,0,0,0,0,Matches
Dominique Heintz\699fb8db,de GER,DF,Union Berlin,27,1993,5.2,0,0,0,7,3,1,0,14,5,0,0,0,Matches
Dominique Heintz\699fb8db,de GER,DF,Freiburg,27,1993,0.3,0,0,0,0,0,0,0,1,0,0,0,0,Matches
Benjamin Henrichs\0a89e877,de GER,DF,RB Leipzig,24,1997,12.7,3,0,0,14,14,1,26,27,21,0,1,0,Matches
Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,25,1996,22.6,7,0,0,23,42,0,5,41,37,0,0,0,Matches
Patrick Herrmann\dfb6490a,de GER,DFFW,M'Gladbach,30,1991,8.4,1,0,0,8,11,4,31,8,7,0,0,0,Matches
Piero Hincapié\0c7a48f8,ec ECU,DF,Leverkusen,19,2002,19.5,5,0,0,29,15,3,13,56,24,0,0,0,Matches
Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,28,1992,24.7,6,0,0,33,32,0,2,65,35,0,1,0,Matches
Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,33,1987,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,31,1990,28.9,5,0,0,58,40,0,11,46,54,1,1,0,Matches
Jonas Hofmann\2903a856,de GER,MFFW,M'Gladbach,29,1992,23.1,1,0,0,24,22,7,37,28,28,0,0,0,Matches
Lucas Höler\ca618d23,de GER,FWMF,Freiburg,27,1994,28.7,2,0,0,39,68,14,24,22,28,1,0,0,Matches
Gerrit Holtmann\2979c05a,ph PHI,FWMF,Bochum,26,1995,20.4,0,0,0,23,16,5,53,22,6,0,0,0,Matches
Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,23,1998,3,1,0,0,5,0,0,0,5,3,0,0,0,Matches
Jannes Horn\2b83fa49,de GER,DF,Köln,24,1997,5.3,2,0,0,7,8,0,26,5,3,0,0,0,Matches
Timo Horn\3cd9e95a,de GER,GK,Köln,28,1993,13,0,0,0,0,1,0,0,0,0,0,0,0,Matches
Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,31,1989,32,1,0,0,0,3,0,0,0,0,0,0,0,Matches
Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,28,1993,30.9,4,0,0,68,74,12,44,18,26,0,0,0,Matches
Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,25,1996,10.7,2,0,0,17,8,0,9,19,15,0,0,0,Matches
Timo Hübers\94302c52,de GER,DF,Köln,25,1996,19.3,7,0,0,27,29,0,2,76,27,0,0,1,Matches
Benjamin Hübner\99de6b6f,de GER,DF,Hoffenheim,32,1989,4.2,2,0,0,8,2,0,1,5,4,0,0,0,Matches
Mats Hummels\05d548d8,de GER,DF,Dortmund,32,1988,19.6,4,0,0,17,14,1,2,58,25,0,2,0,Matches
Iago\054849d2,br BRA,DF,Augsburg,24,1997,24.2,3,0,0,21,18,4,92,44,36,0,0,1,Matches
Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,32,1989,3,1,0,0,5,1,1,0,10,8,0,0,0,Matches
Burak ?nce\683dec01,tr TUR,FW,Arminia,17,2004,1.5,0,0,0,2,4,1,0,0,0,0,0,0,Matches
Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,25,1996,1.4,0,0,0,2,1,0,1,2,0,0,0,0,Matches
Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,25,1996,7.6,2,0,0,16,15,4,11,6,4,1,0,0,Matches
Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,22,1999,26.1,2,0,0,22,11,0,10,72,24,0,0,1,Matches
Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,24,1996,7.1,1,0,0,19,8,3,4,2,6,0,0,0,Matches
Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,22,1999,16.2,3,0,0,18,6,0,36,35,22,0,0,0,Matches
Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,28,1992,16,3,0,0,23,14,2,15,25,21,0,0,0,Matches
Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,23,1998,22.7,5,0,0,33,14,0,3,75,35,0,1,0,Matches
Kristijan Jaki?\a8ee54ad,hr CRO,MF,Eint Frankfurt,24,1997,20.9,6,0,0,42,20,1,9,29,29,0,0,0,Matches
Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,31,1990,2.5,0,0,0,1,4,0,0,2,3,0,0,0,Matches
Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,21,2000,2.5,1,0,0,3,4,0,8,2,2,0,0,0,Matches
Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,23,1997,4.6,0,0,0,3,2,0,12,4,1,0,0,0,Matches
Marco John\d9e196bf,de GER,DF,Hoffenheim,19,2002,0.5,0,0,0,0,0,0,0,2,0,0,0,0,Matches
Stevan Joveti?\f36c432f,me MNE,FW,Hertha BSC,31,1989,11.3,3,0,0,10,20,7,8,4,3,0,0,0,Matches
Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,26,1994,1.6,0,0,0,1,2,0,0,1,1,0,0,0,Matches
Anton Kade\6d7598d5,de GER,MFDF,Hertha BSC,17,2004,0.9,0,0,0,2,2,0,2,3,3,0,0,0,Matches
Pavel Kade?ábek\79c90e45,cz CZE,DF,Hoffenheim,29,1992,13.3,5,0,0,18,10,2,43,14,9,0,0,0,Matches
Florian Kainz\94c18565,at AUT,MFFW,Köln,28,1992,25.8,3,1,1,43,50,1,110,51,18,0,0,0,Matches
Sasa Kalajdzic\15f24fe7,at AUT,FW,Stuttgart,24,1997,13.6,2,0,0,13,20,2,6,7,4,0,0,0,Matches
Felix Kalu Nmecha\091c86e2,de GER,MFFW,Wolfsburg,20,2000,3.6,2,0,0,7,13,0,3,8,2,0,0,0,Matches
Daichi Kamada\15b287da,jp JPN,MFFW,Eint Frankfurt,24,1996,23.8,0,0,0,31,31,6,21,19,26,0,0,0,Matches
Kevin Kampl\b825a650,si SVN,MF,RB Leipzig,30,1990,21.1,4,0,0,40,16,0,5,39,28,0,1,0,Matches
Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Atakan Karazor\5762be5c,de GER,MF,Stuttgart,24,1996,21.1,9,1,1,40,46,0,3,44,28,0,0,0,Matches
Silas Katompa\de4cac2d,cd COD,MFFW,Stuttgart,22,1998,3.1,0,0,0,4,8,3,6,3,2,0,0,0,Matches
Noah Katterbach\e27de4fa,de GER,DF,Köln,20,2001,0.2,0,0,0,0,1,0,1,0,0,0,0,0,Matches
Yannik Keitel\d2c580ce,de GER,MF,Freiburg,21,2000,5.6,1,0,0,13,6,0,0,8,9,0,0,1,Matches
Marc-Oliver Kempf\815c314f,de GER,DF,Hertha BSC,26,1995,11.7,1,1,0,14,13,0,4,37,15,0,1,0,Matches
Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,26,1995,9.3,2,0,0,14,8,0,2,18,14,0,1,0,Matches
Rani Khedira\59e4b92e,de GER,MF,Union Berlin,27,1994,30.6,6,0,0,64,39,0,17,48,51,0,0,0,Matches
Luca Kilian\610aa1e9,de GER,FW,Mainz 05,21,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
