Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nordin Gerzi?\acc80246,se SWE,MF,Örebro,37,1983,23,10,1148,12.8,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
Henok Goitom\c3680236,er ERI,FW,AIK Stockholm,36,1984,29,17,1645,18.3,3,3,3,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
Robert Gojani\65465292,se SWE,MF,Elfsborg,28,1992,15,14,1210,13.4,1,3,1,0,0,2,0,0.07,0.22,0.3,0.07,0.3,Matches
Sebastian Grach\72aefb0b,se SWE,FWDF,Östersund,19,2001,20,6,808,9,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,Matches
Gustav Granath\52cf894f,se SWE,DFMF,Degerfors,23,1997,18,12,1038,11.5,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,Matches
Christos Gravius\9f10b799,se SWE,MF,Degerfors,23,1997,27,27,2354,26.2,0,3,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
Yahav Gurfinkel\e93d8d1a,il ISR,MF,Norrköping,22,1998,6,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Samuel Gustafson\b1e61f23,se SWE,MF,Häcken,26,1995,4,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Carl Gustafsson\c7834633,se SWE,MF,Kalmar,20,2000,29,28,2507,27.9,0,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
Viktor Gustafsson\385c6006,se SWE,MF,Mjällby,25,1995,27,19,1603,17.8,0,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
Jesper Gustavsson\34376913,se SWE,MFFW,Mjällby,26,1994,28,26,2217,24.6,0,2,0,0,0,8,0,0,0.08,0.08,0,0.08,Matches
Sveinn Guðjohnsen\6a7bdb3f,is ISL,FW,Elfsborg,22,1998,11,1,155,1.7,3,0,3,0,0,1,1,1.74,0,1.74,1.74,1.74,Matches
Jón Guðni Fjóluson\7b8ff0ac,is ISL,DF,Hammarby,31,1989,21,21,1816,20.2,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Peter Gwargis\3fd07ca3,se SWE,MF,Malmö,20,2000,5,1,85,0.9,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Lucas Hägg-Johansson\0e014062,se SWE,GK,Kalmar,26,1994,26,26,2340,26,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Sead Haksabanovi?\d2fd7c14,me MNE,FWMF,Norrköping,21,1999,7,7,630,7,0,4,0,0,0,1,0,0,0.57,0.57,0,0.57,Matches
Jetmir Haliti\7a381b1f,se SWE,DF,AIK Stockholm,24,1996,4,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jiloan Hamad\a1d609ca,iq IRQ,MF,Örebro,30,1990,15,15,1288,14.3,0,1,0,0,0,2,1,0,0.07,0.07,0,0.07,Matches
